No,Company name,Website,,Internship position,Host international students?,Contact Name,Contact Position,Contact Email,Contact Phone number,Status,Note,Latest contact time
1,FLYINGSPARKS,,,,,,,,,,,
2,HK연우,,,,,,,,,,,
3,건우하우징랜드(주),,,,,,,,,,,
4,(주)경인양행,,,,,,,,,,,
5,주식회사 고피자,,,,,,,,,,,
6,(주) 그라비티,,,,,,,,,,,
7,글로벌머니익스프레스,,,,,,,,,,,
8,주식회사 글로벌인테크,,,,,,,,,,,
9,나와,,,,,,,,,,,
10,(주)나인벨,,,,,,,,,,,
11,(주)네패스,,,,,,,,,,,
12,(주)넥스틴,,,,,,,,,,,
13,(주)노루페인트,,,,,,,,,,,
14,(주)다인정공,,,,,,,,,,,
15,대진기계공업(주),,,,,,,,,,,
16,데이원컴퍼니,,,,,,,,,,,
